อ้าว อยากมีเรื่องหรอวะ ไอ้หัวเกรียน!,negative
ขอโทษที่รบกวนคะ,positive
รักเธอนะ คนดี,positive
เหี้ย สัตว์มึงอย่าเสือกดิ,negative
ไอ้คนทรยศ แกอย่าหวังว่าจะตายดี,negative
ดีใจด้วยนะ คุณหญิงกฤตยา,positive
เธอเป็นความภูมิใจที่สุดของฉัน,positive
ทปอ. ว่าแต่เขาอิเหนาเป็นเอง ขี้คุยชมัด,negative
ติดมหิดล รอบพอร์ตแล้ว เย้ๆๆ,positive
มือถือค้างอ่ะ เซ็งจัง,negative
เอาหมูคุโรบุตะมาทำสเต๊กนี่ กินแล้วฟินขั้นเทพพพพ,positive
เกรซไม่เคยเปิดใจให้เรา ไม่รู้เค้ามีอคติไรนักหนา,negative
สอบเกือบผ่าน ตกไปแค่ 0.5 คะแนนเอง ถถถถ,negative
ทักคับ,positive
ยินดีด้วยแนนได้ผู้แทนเลขละ มาสอนข้าน้อยด้วยด่วนๆ5555,positive
น่าเสียดายอ่ะน้องแกพลาดประธานตึกไปแค่ 16 แต้ม,negative
น่ารักมากมายด์ ตายอย่างสงบศพสีชมพู,positive
หลายครั้ง ความรักก็ทำให้เราตาบอดนะ เอิร์น,negative
เหม็น หยุดใช้น้ำหอมยี่ห้อนี้ได้มะ เรารู้สึกเหม็นฉุนๆ มากกว่าหอมอ่า._.,negative
พระคุณที่สามงดงามแจ่มใส,positive
ของเก่าจนเกือบจะใช้ไม่ได้ เหมือนอายุเจ้าของที่ใกล้ลงโลง,negative
สบายดีจ้า~,positive
5555555555 ขำจังเลย ตลกดี ชอบ,positive
เราไม่ชอบเฌอปราง แบบเกลียดขี้หน้านาง,negative
แล้วจะให้ฉันทำยังไง แกทำตัวแย่ซะขนาดนี้ ไอ้ลูกทรพี,negative
หิวข้าว รู้งี้กินข้าวเที่ยงดีกว่า เรื่องจริงนาจา,negative
สวัสดีครับ หมาคุณน่ารักจังเลย มันชื่ออะไรหรอคับ,positive
สุดที่รักเธอโทรมาหา ช่วยรับสายหน่อยสิจ้ะ,positive
อย่าให้เขาต้องรอนานอย่างนี้เลย ผิดไปแล้ว,negative
รักเธอมากเกินไป จนต้องทุกข์ใจเพราะเธอไม่แคร์ในสายตา,negative
ขอให้มีความสุข สุขสันต์วันเกิดนะ คุณย่า,positive
กากวะ ไอ้เมากาวสายนู้ป กูไม่เคยได้คะแนนน้อยขนาดมึง,negative
ก็แค่พวกชอบนินทาชาวบ้าน,negative
ย้ายที่สักทีเถอะ หนูเบื่อยัยไร้ความรู้สึกคนนี้ จนจะทนต่อไปไม่ไหวแล้ว,negative
สุขกันเถอะเรา เศร้าไปไม่ได้อะไร ยิ้มเยอะๆเด้ออ,positive
ทุกอย่างไม่เที่ยงแท้ สักวันเธอก็ต้องแก่และมีผมขาวขึ้นเหมือนลุง ไมตรี,negative
แกเราได้เกรดสี่ เคมีอินทรีย์เว้ยเฮ้ย,positive
แววนี่ คนขี้อวด 2018 ส่งเข้าประกวด,negative
แต่ก็แววมันมีดีให้อวดอ่ะ หรือว่ามันไม่จริง,positive
เอมี่เดินออกจากวงสนทนาเงียบๆ รังเกียจพวกชอบดราม่าเกินเหตุ,negative
ครูรุ่งทิวา วาดรูปเมมเบรนของเซลล์เม็ดเลือดได้ห่วยแตก มาก มว๊ากแก,negative
กชพรเป็นนักเรียนที่ดี ไม่เคยมาโรงเรียนเลทตั้งแต่เปิดเทอมมา,positive
เบื่อพวกชอบอวดแฟนให้กับคนที่เพิ่งอกหักหมาดๆ แบบกูว่ะ เต้,negative
สารสื่อประสาทแอซิติลโคลีน ช่วยกระตุ้นให้ความจำดีขึ้นได้ค่ะ,positive
สารสื่อประสาทเอนดอร์ฟินจากสมอง ลดความรู้สึกเจ็บปวดลงได้,positive
หยุดเถอะ ขอละนะ มันน่ารำคาญ,negative
น่าสงสารลูกวัยสี่ขวบ พ่อถูกวิสามัญ แม่ต้องติดคุกตลอดชีวิตเพราะค้ายา,negative
กระแสประสาทจึงส่งไปสมองน้อยลง ทำให้สงบไม่วิตกกังวล,positive
สาบานเหอะว่าที่แกพูดนะ แกไม่รู้ความหมาย กูไม่เชื่อหรอกโว้ย,negative
ขอพระองค์ทรงพระเจริญยิ่งยืนนาน,positive
พระองค์ทรงเปี่ยมล้นด้วยทศพิธราชธรรม,positive
แต๊งกิ้ว,positive
ไม่เป็นไร ขอบคุณที่นึกถึงเรานะพิม,positive
อย่าไปเชื่ออิพลอย พลอยแม่งชอบโกหก,negative
อยากให้ดูวิดีโอก็ดูไม่ได้,negative
ครูลืมสั่งงานน่ะนักเรียน,negative
คิดตัวอย่างไม่ออกแล้ว ไม่นะม่ายยยย,negative
จะแปบหนึ่งอีกกี่ครั้ง เราทนไม่ไหวแล้วจิงๆ,negative
ดีใจด้วยครับ พี่แบม,positive
ยินดี เป็นเรื่องที่น่ายินดีมาก,positive
ขี้เกียจทำงานชีวะอ่ะ,negative
น่ารัก น่ากอด หลานใครเนี่ย,positive
เราก้ชอบเทอเหมือนกันจ้าาา ตกลงครัช,positive
ฐิตาแม่งเย็นชาที่สุดในสามโลก,negative
ไม่ ไม่ปฏิเสธ ขอบคุณสำหรับซูชิหน้าปลาไหลญี่ปุ่นงับ,positive
รอรถไฟฟ้าบีทีเอสนานมากๆวันนี้,negative
เทอมนี้เรียนได้เกรดสี่ทุกวิชา,positive
พราวตาอักเสบ เนื่องจากอุบัติเหตุแสงแฟรชเข้าตาอย่างจัง,negative
แก้มเป็นคนดี มีน้ำใจ ตั้งใจเรียนสม่ำเสมอ,positive
เธอช่างติและยุยง เพื่อให้คนอื่นแตกคอกันโดยแท้,negative
ทำได้แล้ว ดีใจมาก,positive
โห สูงขึ้นเยอะเลยนะ น้องเนม,positive
น้ำหนักลงสี่โลแล้วอ่อ คอนเกรทค่ะเพื่อน,positive
อรุณสวัสดิ์ หัวหินอากาศดีเนอะ,positive
สวยจัง พี่เบล,positive
แม่เจ้า น้องหมาทำห้องเละอีกหรอ เป็นลมแปบ,negative
เป็นงานที่ดูดีมาก ยอดเยี่ยม,positive
เราก็อยากจะทำแบบที่แกบอก แต่ตอนนั้นเรายังไม่กล้าพอ,negative
แย่ว่ะ มึงคิดถึงจิตใจแฟนมึงด้วยสิ เขาจะรับได้หราว่ะ,negative
ขอบคุณแฟนคลับทุกคน ที่ทำให้ผมได้รับรางวัลนี้ครับ,positive
เฟิร์นป่วยเป็นโรคไข้เลือดออกอ่ะ ตอนนี้นอนอยู่โรงบาลปิยะเวท,negative
เมื่อเช้าวันนี้ไปรษณีย์ราชเทวีไฟไหม้ มีผู้บาดเจ็บสาหัส 2 ราย,negative
พี่นารีถูกหวยเลขท้ายสามตัวมา 2 เดือนติดแล้วฮะ แม่,positive
เจ้าประคุณฉันไม่เคยเจอใคร ขยันในเรื่องโง่เง่าเต่าตุนได้ดีเท่าเทอเลย,negative
ชอบมากครับ พี่ป๊อบตาแหลม น้ำใจงามจริงๆ,positive
นาฬิกาเรือนดังกล่าว งดงามเหลือเกิน,positive
เคนทำอาหารเก่งตั้งแต่เด็กเชียวแหละ,positive
โอ๋มันก็อ้วนมาตั้งแต่ไหนแต่ไรแล้วละ หนูเอ๋ย,negative
แล้วไอ้วิน มึงจะให้อีดอกฉายไม่ทำเหี้ยไรเลย ไม่ได้นะเว้ย,negative
บ้านเมืองนี้เป็นบ้านที่ดี ดั่งสวนสวรรค์สราญใจ,positive
เกลียด ชอบหลอกให้สั่งซื้อ ที่ไหนได้ไม่มีสิ้นค้า,negative
สินค้าด้อยคุณภาพ,negative
สินค้าหมดทำไมไม่แจ้งขึ้นว่าหมดอะ.กดใส่ตะกร้าไปเถอะ.เซ็งเรย,negative
อย่าทำแบบนี้กับใครอีกนะค่ะแย่มากค่ะ,negative
คือเเบบผิดหวังมาก เเย่ที่สุดได้ของมาฝาเเตก เเตกนิดหน่อยไม่ว่าเเตกเยอะมาก ครั้งเดียวพอจบเเยก,negative
ส่งช้าจัง รอนานมาก ยกเลิกก้อไม่ได้,negative
