text,sentiment
I love this product!,positive
This movie is terrible.,negative
The food at this restaurant was amazing!,positive
I was really disappointed with the service.,negative
I can't wait to go on vacation!,positive
I had a terrible experience at the dentist today.,negative
i feel awful about it too because it s my job to get him in a position to succeed and it just didn t happen here,negative
im alone i feel awful,negative
ive probably mentioned this before but i really do feel proud of myself for actually keeping up with my new years resolution of monthly and weekly goals,positive
i was feeling a little low few days back,negative
i beleive that i am much more sensitive to other peoples feelings and tend to be more compassionate,positive
i find myself frustrated with christians because i feel that there is constantly a talk about loving one another being there for each other and praying for each other and i have seen that this is not always the case,positive
i am one of those people who feels like going to the gym is only worthwhile if you can be there for an hour or more,positive
i feel especially pleased about this as this has been a long time coming,positive
i was struggling with these awful feelings and was saying such sweet things about not deserving my and my sisters friendship and we agreed well she was in her car just starting to drive away when she reached out her hand,positive
i feel so enraged but helpless at the same time,negative
i said feeling a bit rebellious,negative
i also feel disillusioned that someone who claimed to value the truth as i do was a fraud,negative
i mean is on this stupid trip of making the great album when things are going well i feel ecstatic,positive
i woke up feeling particularly vile tried to ignore it but it got worse and worse and worse,negative
i could feel the vile moth burrowing its way into my brain seeking my brain as a means to control and enslave me just as those nasty bug things did to chekov in star trek the wrath of khan,negative
i know its just doing its job and doesnt actually have thoughts or feelings but that little jingle it does at the end of every cycle just makes it seem so excited to have done another load that it cant help but sing about it,positive
i wish you knew every word i write i write for you and i think it s useless because i m just heartless this feeling is empty in it s w,negative
i feel weird knowing mine died when i wasn t around,negative
i feel assured that there is no such thing as ultimate forgetting traces once impressed upon the memory are indestructible,positive
i feel blessed everyday for our little man and love to watch him grow,positive
i feel exhausted when i go home but i am always glad that i am learning new things and i can help others learn as well,negative
i stil can see kaibas face on every tv screen still see amateur duelists prowling the good side of city and still feel the urge to throttle all those idiotic mortals that dare to look me in the eye,negative
i don t like to feel uncomfortable with being alone and being quiet,negative
i was left kinda feeling stupid and insecure,negative
i alternate between feeling sympathetic toward humanity and being a misanthrope,positive
i have a pretty bad feeling the last two books will be rushed in terms of story,negative
i sincerely believe that every client celebrity or not deserves my full attention and leaves feeling more glamorous than when they arrived,positive
i don t feel comfortable around you,positive
i am happy that you don t feel as burdened and consumed as i do,negative
i am still here i am not dead yet but these things can not be said without feeling humiliated,negative
