text,sentiment
ไรอะ,neutral
อ้าว อยากมีเรื่องหรอวะ ไอ้หัวเกรียน!,negative
ขอโทษที่รบกวนคะ,positive
รักเธอนะ คนดี,positive
เหี้ย สัตว์มึงอย่าเสือกดิ,negative
ไอ้คนทรยศ แกอย่าหวังว่าจะตายดี,negative
ดีใจด้วยนะ คุณหญิงกฤตยา,positive
เธอเป็นความภูมิใจที่สุดของฉัน,positive
ทปอ. ว่าแต่เขาอิเหนาเป็นเอง ขี้คุยชมัด,negative
ติดมหิดล รอบพอร์ตแล้ว เย้ๆๆ,positive
มือถือค้างอ่ะ เซ็งจัง,negative
เอาหมูคุโรบุตะมาทำสเต๊กนี่ กินแล้วฟินขั้นเทพพพพ,positive
เกรซไม่เคยเปิดใจให้เรา ไม่รู้เค้ามีอคติไรนักหนา,negative
สอบเกือบผ่าน ตกไปแค่ 0.5 คะแนนเอง ถถถถ,negative
ทักคับ,positive
ยินดีด้วยแนนได้ผู้แทนเลขละ มาสอนข้าน้อยด้วยด่วนๆ5555,positive
น่าเสียดายอ่ะน้องแกพลาดประธานตึกไปแค่ 16 แต้ม,negative
น่ารักมากมายด์ ตายอย่างสงบศพสีชมพู,positive
หลายครั้ง ความรักก็ทำให้เราตาบอดนะ เอิร์น,negative
เหม็น หยุดใช้น้ำหอมยี่ห้อนี้ได้มะ เรารู้สึกเหม็นฉุนๆ มากกว่าหอมอ่า._.,negative
พระคุณที่สามงดงามแจ่มใส,positive
ของเก่าจนเกือบจะใช้ไม่ได้ เหมือนอายุเจ้าของที่ใกล้ลงโลง,negative
สบายดีจ้า~,positive
5555555555 ขำจังเลย ตลกดี ชอบ,positive
เราไม่ชอบเฌอปราง แบบเกลียดขี้หน้านาง,negative
แล้วจะให้ฉันทำยังไง แกทำตัวแย่ซะขนาดนี้ ไอ้ลูกทรพี,negative
หิวข้าว รู้งี้กินข้าวเที่ยงดีกว่า เรื่องจริงนาจา,negative
สวัสดีครับ หมาคุณน่ารักจังเลย มันชื่ออะไรหรอคับ,positive
สุดที่รักเธอโทรมาหา ช่วยรับสายหน่อยสิจ้ะ,positive
อย่าให้เขาต้องรอนานอย่างนี้เลย ผิดไปแล้ว,negative
รักเธอมากเกินไป จนต้องทุกข์ใจเพราะเธอไม่แคร์ในสายตา,negative
ขอให้มีความสุข สุขสันต์วันเกิดนะ คุณย่า,positive
กากวะ ไอ้เมากาวสายนู้ป กูไม่เคยได้คะแนนน้อยขนาดมึง,negative
ก็แค่พวกชอบนินทาชาวบ้าน,negative
ย้ายที่สักทีเถอะ หนูเบื่อยัยไร้ความรู้สึกคนนี้ จนจะทนต่อไปไม่ไหวแล้ว,negative
สุขกันเถอะเรา เศร้าไปไม่ได้อะไร ยิ้มเยอะๆเด้ออ,positive
