text,sentiment
🍾,neutral
🐷,neutral
🤓,neutral
🤔,neutral
🤣,neutral
🧐,neutral
🧐,neutral
😂,neutral
😌,neutral
😌,neutral
😒,neutral
😗,neutral
😱,neutral
🙄,neutral
Ok,neutral
คะ,neutral
เค,neutral
งง,neutral
ไง,neutral
จน,neutral
จบ,neutral
ชิ,neutral
นะ,neutral
ไป,neutral
มะ,neutral
รอ,neutral
ลด,neutral
อะ,neutral
: ),neutral
...,neutral
\m/,neutral
= =,neutral
✌🏻,neutral
10฿,neutral
379,neutral
499,neutral
55+,neutral
555,neutral
MG6,neutral
กอย,neutral
กัส,neutral
กิน,neutral
โกๆ,neutral
ค่ะ,neutral
ค่า,neutral
เคๆ,neutral
เคร,neutral
ง้อ,neutral
งับ,neutral
งัว,neutral
งืม,neutral
แง้,neutral
จ่ะ,neutral
จ้ะ,neutral
จัน,neutral
จ้า,neutral
จูน,neutral
เจ้,neutral
ใช่,neutral
ดูๆ,neutral
โด่,neutral
ตัง,neutral
ตัว,neutral
เตง,neutral
เตร,neutral
ถูก,neutral
โถ่,neutral
เทส,neutral
เทอ,neutral
นะๆ,neutral
นี้,neutral
บ่ๆ,neutral
บาย,neutral
ปี๊,neutral
ฝาก,neutral
มาๆ,neutral
มึง,neutral
แม่,neutral
ยัง,neutral
ยี๋,neutral
เย้,neutral
แยก,neutral
ลดๆ,neutral
ลอง,neutral
ใสๆ,neutral
หมี,neutral
หยอ,neutral
หรอ,neutral
หรา,neutral
หิว,neutral
หึๆ,neutral
หึย,neutral
หุๆ,neutral
หูย,neutral
แหม,neutral
ออม,neutral
อิๆ,neutral
อืด,neutral
อืม,neutral
อือ,neutral
เออ,neutral
****,neutral
*ตัว,neutral
=+++,neutral
🌈✌️,neutral
👍🏻,neutral
🤘😎,neutral
😉😉,neutral
😬😬,neutral
😯😯,neutral
😶😶,neutral
😷🤧,neutral
25นะ,neutral
3142,neutral
5555,neutral
Goๆๆ,neutral
Jack,neutral
Vios,neutral
ไก่?,neutral
ครับ,neutral
คลีน,neutral
ค้าบ,neutral
งงใจ,neutral
ง่วบ,neutral
ง่ะะ,neutral
งื้อ,neutral
งุ้ย,neutral
แง่ๆ,neutral
แงงง,neutral
จย้า,neutral
จ๊ะๆ,neutral
ช่าย,neutral
ชีสๆ,neutral
ใช่ๆ,neutral
ด้วย,neutral
เด๋อ,neutral
ตะกะ,neutral
ตัวไ,neutral
ตุ่ย,neutral
เถอะ,neutral
ทำดี,neutral
ทำไม,neutral
นี่ๆ,neutral
บวกๆ,neutral
บวกก,neutral
เบาๆ,neutral
เป็ด,neutral
ไปดิ,neutral
ไปนะ,neutral
ไปบ่,neutral
ไปมะ,neutral
ไปสิ,neutral
ผมรอ,neutral
พี่ๆ,neutral
มาดิ,neutral
มาสิ,neutral
มีดิ,neutral
ยุ่ง,neutral
เย่ๆ,neutral
เย้ๆ,neutral
โยว์,neutral
ร่วม,neutral
รอชม,neutral
รอไร,neutral
รายย,neutral
ไรคะ,neutral
ลองๆ,neutral
ล่า!,neutral
ลืมๆ,neutral
ลุยย,neutral
เลโก,neutral
แล้ว,neutral
ว้อน,neutral
แวะๆ,neutral
สตูล,neutral
สนนน,neutral
สนปะ,neutral
สนมะ,neutral
สนมิ,neutral
สลีป,neutral
สาระ,neutral
สาสส,neutral
แสดง,neutral
หรอย,neutral
หราา,neutral
ห่าน,neutral
หิวว,neutral
หุหุ,neutral
หูยย,neutral
เห้อ,neutral
เหอะ,neutral
แหม่,neutral
โหหห,neutral
ไหมๆ,neutral
อยาก,neutral
อ้วน,neutral
อ่อย,neutral
อ่าๆ,neutral
อ่าว,neutral
อ่าา,neutral
อิ่ม,neutral
อึๆๆ,neutral
อืมๆ,neutral
อุ้ย,neutral
เอ่อ,neutral
เออๆ,neutral
เอออ,neutral
แอ๊ะ,neutral
โอเค,neutral
โอ่ย,neutral
ฮิฮิ,neutral
ฮืออ,neutral
.ดิ้น,neutral
11ค่ะ,neutral
17:15,neutral
17ค่ะ,neutral
18ค่ะ,neutral
1แถม1,neutral
27 นะ,neutral
2ก้อน,neutral
2สาขา,neutral
4 น้ำ,neutral
55555,neutral
55556,neutral
555คะ,neutral
8 ค่ะ,neutral
D-max,neutral
No !!,neutral
Now!!,neutral
sk-ii,neutral
Yaris,neutral
กระบี,neutral
ก้อนๆ,neutral
ก้อนน,neutral
กะบี่,neutral
กินนน,neutral
กินมะ,neutral
กุหิว,neutral
ขำร้ะ,neutral
คับผม,neutral
ค้าบบ,neutral
ค่าาา,neutral
คือไร,neutral
เคๆ55,neutral
เคงับ,neutral
โคราช,neutral
งบหมด,neutral
งั่มๆ,neutral
ง่าาา,neutral
งื้มม,neutral
งือออ,neutral
งุ้ยย,neutral
แงๆๆๆ,neutral
แงงงง,neutral
แง่มๆ,neutral
จ - ศ,neutral
จ-ศอะ,neutral
จบสวย,neutral
จร้าๆ,neutral
จร้าา,neutral
จริงๆ,neutral
จะไป?,neutral
จะเอา,neutral
จัดแน,neutral
จัดมะ,neutral
จัดสิ,neutral
จ้าาา,neutral
จิงรึ,neutral
จิ๊บๆ,neutral
ชาบูๆ,neutral
ชุมพร,neutral
ซีวิค,neutral
ด่วน.,neutral
ด้ายย,neutral
ดีๆ🙏,neutral
ดีๆๆๆ,neutral
ดีแมก,neutral
ดูๆๆๆ,neutral
เด็กๆ,neutral
ได้ดิ,neutral
ได้ฮะ,neutral
ต่อคน,neutral
ตอบๆๆ,neutral
ตอบมา,neutral
ตั๋วๆ,neutral
ตู้วว,neutral
ถึง29,neutral
ถุย55,neutral
ที ที,neutral
ทีเดด,neutral
เธอออ,neutral
น้องๆ,neutral
นี่งะ,neutral
นี่ไง,neutral
เนี่ย,neutral
โนววว,neutral
บ่แซบ,neutral
บ่าไป,neutral
โบนัส,neutral
ปล่อย,neutral
ป่ะๆๆ,neutral
ป้ะๆๆ,neutral
ปายๆๆ,neutral
แป้ะๆ,neutral
ไปกิน,neutral
ไปนะๆ,neutral
ไปบ๋อ,neutral
ไปป่ะ,neutral
ไปม่ะ,neutral
ไปแม่,neutral
ไปไหม,neutral
พะเยา,neutral
พัทยา,neutral
ฟ้าใส,neutral
มาคับ,neutral
มารับ,neutral
มาเลย,neutral
มาและ,neutral
มาสิๆ,neutral
มีป้ะ,neutral
มีไหน,neutral
มึงร่,neutral
มึงอะ,neutral
ไม่ใจ,neutral
ไม่ไป,neutral
ไม่รุ,neutral
ยังไง,neutral
ยุไหน,neutral
เย้ๆๆ,neutral
แย้ะๆ,neutral
รอน่ะ,neutral
รอป่ะ,neutral
ระยอง,neutral
รำคาน,neutral
รีบมา,neutral
เร็วๆ,neutral
ลองดิ,neutral
ลองดู,neutral
ลำปาง,neutral
ลำพูน,neutral
ไล่ฝน,neutral
ว่าใง,neutral
ว่าไง,neutral
วึ้ยย,neutral
สงขลา,neutral
สนใจ?,neutral
สลัดๆ,neutral
ไสมาก,neutral
หมูทะ,neutral
หิวอะ,neutral
หึ หึ,neutral
หื้มม,neutral
หือออ,neutral
เหมาะ,neutral
เหอะๆ,neutral
แหมๆๆ,neutral
แหมมม,neutral
ไหมละ,neutral
ไหมอะ,neutral
อยาก?,neutral
อ้วนน,neutral
อะไร?,neutral
อะแฮม,neutral
อิ_อิ,neutral
อีบ้า,neutral
อึหือ,neutral
อุ้วๆ,neutral
อูมาา,neutral
อูยยย,neutral
อู้วว,neutral
เอาาา,neutral
เอิ่ม,neutral
เอือน,neutral
โอเคร,neutral
ฮ่าๆๆ,neutral
ฮุนได,neutral
......,neutral
....😁,neutral
=+1 คะ,neutral
☺️☺️☺️,neutral
✌️✌️✌️,neutral
🐷🐷🐷,neutral
💜💜💜,neutral
🤔🤔🤔,neutral
😂😂😂,neutral
😅😅😅,neutral
11 นี้,neutral
1บุญชุ,neutral
22 จ้า,neutral
25ดีมะ,neutral
343ค่ะ,neutral
343จ้ะ,neutral
48 ชม.,neutral
4คนครบ,neutral
4หม้อๆ,neutral
5 บาทๆ,neutral
55 ไปๆ,neutral
555 รอ,neutral
555+++,neutral
555555,neutral
555556,neutral
555หิว,neutral
600มล.,neutral
ganier,neutral
Hotpot,neutral
M2ครับ,neutral
Mazda2,neutral
MG3 55,neutral
ก็ดีนะ,neutral
กระบี่,neutral
กราบบบ,neutral
กิงงงๆ,neutral
กิน285,neutral
กินม่ะ,neutral
กินยับ,neutral
กินไหม,neutral
กินอ๋อ,neutral
กี่โมง,neutral
กูว่าง,neutral
แก นี้,neutral
แกกกกก,neutral
ขวาสุด,neutral
ของเขา,neutral
ขอเถอะ,neutral
ขี้ดิ.,neutral
ครับบบ,neutral
ครับผม,neutral
ค้ะๆ😘,neutral
คิดมาก,neutral
คือ???,neutral
คือหิว,neutral
คุณขาา,neutral
คุ้มนะ,neutral
เคๆค่ะ,neutral
เครๆๆๆ,neutral
เครค่ะ,neutral
เครป่ะ,neutral
เคหยัง,neutral
งั้นอด,neutral
งือๆๆๆ,neutral
งื้อออ,neutral
งืออออ,neutral
แง่มๆๆ,neutral
แง้ะะะ,neutral
จบข่าว,neutral
จบเลยย,neutral
จริงๆๆ,neutral
จริงงง,neutral
จริงงะ,neutral
จริงนะ,neutral
จริงอะ,neutral
จ้อนนๆ,neutral
จะรอดู,neutral
จัดค่ะ,neutral
จัดม่ะ,neutral
จัดเรย,neutral
จัดไหม,neutral
จิงจัง,neutral
เจมสัน,neutral
เจอกัน,neutral
ชวนใคร,neutral
ชายน้ำ,neutral
ชีสส😍,neutral
ชุนพอน,neutral
ชุมพร-,neutral
ชุมพร.,neutral
แชร์คะ,neutral
ใช่ค่ะ,neutral
ใช่คับ,neutral
ใช่เลย,neutral
ซีแกรม,neutral
ซื้อสิ,neutral
ซู่ซ่า,neutral
เซเว่น,neutral
แซ้ปนะ,neutral
ด้วยๆๆ,neutral
ดีคนับ,neutral
ดูก่อน,neutral
ได้ค่ะ,neutral
ได้ค้ะ,neutral
ได้คับ,neutral
ได้หมด,neutral
ตอนไหน,neutral
ตอบแทน,neutral
ตู้มมม,neutral
เตงงงง,neutral
ถุยยยย,neutral
ถูกเลย,neutral
ทำไมอะ,neutral
ที่ไหน,neutral
ทุกพุธ,neutral
ทุกวัน,neutral
เทออออ,neutral
เท่าไร,neutral
น่อววว,neutral
นะะะะะ,neutral
นัดวัน,neutral
นั้นนะ,neutral
น่ารอง,neutral
นิสสัน,neutral
นี่ใคร,neutral
เนอะๆๆ,neutral
เนาะ ๆ,neutral
เนี้ยๆ,neutral
แน่นอน,neutral
ในห้าง,neutral
บรรหาน,neutral
บอกซ้า,neutral
บอกพ่อ,neutral
บึงกาฬ,neutral
ป่ะๆๆๆ,neutral
ป๊ะๆๆๆ,neutral
ป๊ะป๋า,neutral
ป๋าขาา,neutral
ป้าจ้า,neutral
ปายยยย,neutral
เปลือง,neutral
ไปทำไร,neutral
ไปบ้ๆๆ,neutral
ไปเหรอ,neutral
ไปใหม่,neutral
พลีสสส,neutral
พาไปสิ,neutral
พิกัดๆ,neutral
มะไหร่,neutral
มาๆจัด,neutral
มาค้าบ,neutral
ม่ายยย,neutral
มีเงิน,neutral
มึงงงง,neutral
เมิงๆๆ,neutral
แม่มึง,neutral
ไม่จ๊ะ,neutral
ยังไงๆ,neutral
ยัดไส้,neutral
ยากเด้,neutral
เยนหรอ,neutral
รอๆๆๆๆ,neutral
รอก่อน,neutral
รอครับ,neutral
ร้ายคด,neutral
เรามี3,neutral
ลด 20%,neutral
ลดหุ่น,neutral
ลองมะะ,neutral
ลองยัง,neutral
ลองไหม,neutral
ลุยไหม,neutral
ลูกหมู,neutral
เลี้ยง,neutral
แลกกัน,neutral
ว๊อนนน,neutral
วันจัน,neutral
วันน่ะ,neutral
วันนี้,neutral
วันสุก,neutral
ว่าใคร,neutral
ว่าง22,neutral
ว่างปะ,neutral
ว่าไงๆ,neutral
สนครับ,neutral
สนป่าว,neutral
สนม่ะๆ,neutral
สนไหม๊,neutral
สนไหมม,neutral
สวัสดี,neutral
สองชุด,neutral
สักนิด,neutral
แสงโสม,neutral
หนาวอะ,neutral
หมด 29,neutral
หราาาา,neutral
หิว555,neutral
หิวจัง,neutral
หิวจาง,neutral
หิวจุง,neutral
หิวเด้,neutral
หิวเลย,neutral
หิวววว,neutral
หิวว่ะ,neutral
หิวหรอ,neutral
หืมมมม,neutral
หื้อออ,neutral
หูยยย์,neutral
เห่ยยย,neutral
เหลือๆ,neutral
เหื้ออ,neutral
แหมมมม,neutral
โหลลลล,neutral
ไหนตัง,neutral
อดทนนะ,neutral
อเมร่า,neutral
อยากทำ,neutral
อยากนื,neutral
อย่ามา,neutral
อ้วน!!,neutral
อ้วนนะ,neutral
ออลนิว,neutral
อะเครร,neutral
อะหนัก,neutral
อ่านสิ,neutral
อ้าวรึ,neutral
อิ่มละ,neutral
อือหือ,neutral
เออ จบ,neutral
เออได้,neutral
เอาๆฟฟ,neutral
เอาป่ะ,neutral
